硅指标目录 Sheet Name 修复报告 硅产业链数据_workflow_ai.xlsx
备份: 硅产业链数据_workflow_ai_backup_fix_silicon_catalog_sheets.xlsx
指标行填表: 2354 | 多候选需人工: 2 | 未找到: 0 | 引用行跳过: 0
自检(全部指标行 sheet+col 与数据名称行一致): FAIL x2
错位/变更行数(对比修复前分组): 1182

=== 错位行清单 (row | 原分组 -> 真实sheet | 指标) ===
r1524 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅06-07月差
r1525 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅07-08月差
r1526 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅07-09月差
r1527 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅08-09月差
r1528 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅09-10月差
r1529 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅09-11月差
r1530 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅10-11月差
r1531 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅11-01月差
r1532 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅11-12月差
r1533 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | 工业硅12-01月差
r1534 | <组:光伏玻璃平衡-月> -> 多晶硅成交+持仓-日 | 多晶硅成交持仓比
r1535 | <组:光伏玻璃平衡-月> -> 工业硅成交持仓-日 | 工业硅成交持仓比
r1536 | <组:光伏玻璃平衡-月> -> 多晶硅成交+持仓-日 | GFEX: 多晶硅: 二月合约: 成交量: 日度
r1537 | <组:光伏玻璃平衡-月> -> 多晶硅成交+持仓-日 | GFEX: 多晶硅: 二月合约: 持仓量: 日度
r1538 | <组:光伏玻璃平衡-月> -> 多晶硅成交+持仓-日 | GFEX: 多晶硅: 三月合约: 成交量: 日度
r1539 | <组:光伏玻璃平衡-月> -> 多晶硅成交+持仓-日 | GFEX: 多晶硅: 三月合约: 持仓量: 日度
r1540 | <组:光伏玻璃平衡-月> -> 多晶硅成交+持仓-日 | GFEX: 多晶硅: 四月合约: 成交量: 日度
